,Name,Product,ML115_Empty_6hr_1,ML115_Empty_6hr_2,ML115_Empty_6hr_3,ML115_Empty_6hr_4,ML115_Empty_12hr_1,ML115_Empty_12hr_2,ML115_Empty_12hr_3,ML115_Empty_12hr_4,ML115_Empty_24hr_1,ML115_Empty_24hr_2,ML115_Empty_24hr_3,ML115_Empty_24hr_4,ML115_TE_6hr_1,ML115_TE_6hr_2,ML115_TE_6hr_3,ML115_TE_6hr_4,ML115_TE_12hr_1,ML115_TE_12hr_2,ML115_TE_12hr_3,ML115_TE_12hr_4,ML115_TE_24hr_1,ML115_TE_24hr_2,ML115_TE_24hr_3,ML115_TE_24hr_4,LAR1_Empty_6hr_1,LAR1_Empty_6hr_2,LAR1_Empty_6hr_3,LAR1_Empty_6hr_4,LAR1_Empty_12hr_1,LAR1_Empty_12hr_2,LAR1_Empty_12hr_3,LAR1_Empty_12hr_4,LAR1_Empty_24hr_1,LAR1_Empty_24hr_2,LAR1_Empty_24hr_3,LAR1_Empty_24hr_4,LAR1_TE_6hr_1,LAR1_TE_6hr_2,LAR1_TE_6hr_3,LAR1_TE_6hr_4,LAR1_TE_12hr_1,LAR1_TE_12hr_2,LAR1_TE_12hr_3,LAR1_TE_12hr_4,LAR1_TE_24hr_1,LAR1_TE_24hr_2,LAR1_TE_24hr_3,LAR1_TE_24hr_4
b0001,thrL,thr operon leader peptide,1.036525256,5.445380673,7.659623666,7.567116087,10.64074481,8.741484926,9.257376087,10.38921248,5.29594751,11.24852536,11.17419878,10.98756675,13.4963109,18.75605625,24.64242546,21.45871591,14.00624239,14.35557778,9.04867747,24.44192657,10.95833936,8.597666201,11.29088572,11.11334471,2.099958082,2.09316654,2.221425343,9.776527874,3.77892753,7.330965021,6.753149265,6.524943269,6.0852181,9.283111812,6.058597707,4.158334472,6.636288884,2.748185211,3.390963465,7.387172617,5.680938271,3.961595719,3.343787763,2.518765039,1.559197869,2.212396676,1.659072221,1.55062349
b0002,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,19.69397986,10.89076135,20.10651212,10.81016584,15.36996473,5.827656618,13.37176546,8.500264756,14.82865303,15.33889822,8.691043495,13.98417587,15.18334977,10.94103281,4.10707091,4.023509233,12.25546209,11.16544938,6.786508102,17.25312464,8.523152833,12.28238029,3.763628572,14.81779295,39.89920356,33.49066464,13.32855206,26.070741,11.33678259,19.06050905,10.1297239,13.77488023,17.49500204,11.60388977,16.66114369,13.86111491,25.07042467,25.4207132,25.77132234,21.42280059,9.941641975,8.58345739,8.693848185,11.33444268,13.25318189,14.74931117,13.27257777,16.28154665
b0003,thrB,homoserine kinase,6.219151534,4.537817227,7.659623666,10.81016584,4.729219917,3.885104412,15.42896014,10.38921248,9.532705518,10.22593215,7.449465853,11.98643646,6.748155451,0,1.369023637,8.047018465,5.252340895,1.595064198,2.262169367,1.437760387,8.523152833,8.597666201,8.781800001,3.704448238,9.44981137,6.279499619,4.442850686,9.776527874,5.290498542,8.797158025,6.077834338,2.17498109,9.12782715,6.962333859,6.058597707,4.851390218,3.686827158,2.748185211,4.069156158,5.909738094,1.420234568,3.961595719,10.70012084,3.778147559,3.897994673,2.212396676,5.806752773,6.202493961
b0004,thrC,L-threonine synthase,9.328727301,10.89076135,14.36179437,8.648132671,8.276134855,5.827656618,9.257376087,9.444738618,6.355137012,4.090372859,2.483155284,5.99321823,8.435194314,6.252018751,8.214141819,9.388188209,14.00624239,7.975320988,11.31084684,15.81536425,8.523152833,13.51061832,10.03634286,9.878528634,11.54976945,8.372666159,9.996414043,6.51768525,6.046284048,7.330965021,5.402519412,7.974930662,8.367174888,12.37748242,8.330571846,10.39583618,8.111019747,14.42797236,9.494697703,5.909738094,9.941641975,9.243723343,11.3688784,6.296912599,5.457192542,8.112121145,12.44304166,7.753117451
b0005,yaaX,DUF2502 family putative periplasmic protein,29.02270716,22.68908614,28.72358875,28.10643118,7.093829875,4.856380515,5.142986715,9.444738618,3.177568506,8.180745718,4.966310569,9.988697049,35.42781612,32.82309844,36.96363819,45.5997713,24.51092418,20.73583457,15.83518557,23.00416619,7.305559571,2.456476057,1.254542857,6.174080396,20.99958082,32.44408137,22.21425343,28.24330275,12.0925681,4.398579013,10.1297239,5.074955876,9.12782715,6.962333859,9.08789656,8.316668945,22.85832838,34.35231513,24.41493695,25.85510416,12.07199383,13.20531906,12.7063935,14.48289898,1.559197869,10.32451782,3.318144442,7.753117451
b0006,yaaA,"peroxide resistance protein, lowers intracellular iron",3.109575767,7.260507564,18.19160621,8.648132671,13.00535477,18.45424596,9.257376087,10.38921248,4.236758008,4.090372859,7.449465853,7.99095764,13.4963109,25.008075,17.79730728,10.72935795,38.51716657,25.52102716,22.62169367,20.12864541,19.48149219,14.73885634,18.81814286,24.69632159,16.79966466,14.65216578,8.885701372,10.86280875,15.11571012,14.66193004,8.779094044,15.22486763,7.606522625,9.283111812,6.81592242,8.316668945,17.69677036,15.11501866,17.63301002,25.1163869,17.04281481,17.82718073,14.71266616,15.7422815,20.2695723,11.79944894,16.59072221,21.70872886
b0007,yaaJ,putative transporter,42.49753548,55.36137017,66.06425412,70.26607795,40.19836929,39.82232022,48.34407512,61.39080101,37.07163257,42.94891502,24.83155284,31.96383056,50.61116588,62.52018751,67.08215819,50.96445028,57.77574985,31.90128395,36.19470988,25.87968696,28.00464502,35.61890283,31.36357143,25.93113766,38.84922452,26.16458175,51.09278289,41.27867325,43.07977384,54.24914116,44.57078515,39.87465331,28.90478598,29.39652074,48.46878165,33.95973153,52.35294564,48.78028749,31.19686388,31.76484225,43.31715432,36.97489337,33.43787763,40.92993189,39.75954566,36.87327793,25.71561943,34.88902853
b0008,talB,transaldolase B,29.02270716,40.84035505,47.87264791,33.5115141,43.74528423,32.0521114,39.08669903,28.33421585,33.89406407,34.7681693,32.2810187,52.94009436,26.99262181,25.008075,41.0707091,68.39965695,42.01872716,36.68647655,40.71904861,61.82369663,49.92132374,34.3906648,48.92717143,58.03635573,93.44813466,96.28566083,77.749887,71.69453775,44.59134485,53.51604465,37.14232096,34.79969743,44.11783123,41.77400316,34.0796121,33.26667578,44.24192589,59.08598203,50.86445198,39.89073213,58.22961728,39.61595719,50.825574,62.96912599,42.8779414,30.2360879,34.84051664,31.78778155
b0009,mog,molybdochelatase incorporating molybdenum into molybdopterin,14.51135358,5.445380673,5.74471775,7.567116087,8.276134855,14.56914154,4.114389372,4.722369309,2.118379004,7.158152504,2.483155284,0.998869705,10.12223318,7.815023439,10.95218909,8.047018465,10.50468179,11.16544938,4.524338735,11.50208309,4.870373047,4.912952115,3.763628572,8.643712555,64.04872151,60.70182965,81.08202502,59.74544812,18.89463765,13.92883354,13.50629853,12.32489284,9.12782715,9.283111812,12.87452013,18.71250513,42.76719503,43.28391707,44.08252505,25.85510416,22.0136358,10.56425525,16.05018126,18.26104654,11.69398402,9.587052262,6.636288884,8.528429196
b0010,satP,succinate-acetate transporter,119.2004044,112.5378672,72.76642483,85.40031013,36.65145436,47.59252904,46.28688043,51.00158854,42.36758008,42.94891502,49.66310569,39.9547882,67.48155451,78.15023439,73.92727637,57.670299,70.03121194,73.37295309,92.74894407,76.20130049,46.26854395,58.95542538,66.49077143,32.10521806,83.99832329,86.8664114,95.52128975,81.47106562,62.730197,76.24203622,76.98590162,63.0744516,59.33087648,51.05711497,56.7993535,48.51390218,78.89810118,68.70463027,61.71553507,79.042747,69.59149383,74.6100527,73.56333079,74.93325992,65.4863105,60.47217581,58.89706384,69.00274531
