,Name,Product,ML115_Empty_12-6hr,ML115_Empty_24-12hr,ML115_Empty_24-6hr,ML115_TE_12-6hr,ML115_TE_24-12hr,ML115_TE_24-6hr,LAR1_Empty_12-6hr,LAR1_Empty_24-12hr,LAR1_Empty_24-6hr,LAR1_TE_12-6hr,LAR1_TE_24-12hr,LAR1_TE_24-6hr
b0001,thrL,thr operon leader peptide,4.330043155,-0.080644976,4.24939818,-4.125271078,-4.973047055,-9.098318132,2.049226812,0.299319252,2.348546063,-1.164380846,-2.130949134,-3.29532998
b0002,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,-4.607941902,2.443279763,-2.164662139,3.301395372,-2.018397392,1.282997981,-14.62181637,1.32981366,-13.29200271,-14.78296764,4.750806813,-10.03216083
b0003,thrB,homoserine kinase,1.301434671,1.190510758,2.491945429,-1.404215677,4.764933107,3.36071743,-1.902054389,1.164919235,-0.737135154,0.861548016,-0.435115151,0.426432865
b0004,thrC,L-threonine synthase,-2.605877379,-3.471005698,-6.076883077,4.204557844,-1.789782955,2.414774889,-2.42045894,3.179091548,0.758632608,-0.273067897,-0.77142088,-1.044488777
b0005,yaaX,DUF2502 family putative periplasmic protein,-20.50096938,-0.05615347,-20.55712285,-16.68205339,-16.72386291,-33.40591629,-18.05134787,0.449724906,-17.60162296,-13.75351981,-7.377906947,-21.13142676
b0006,yaaA,"peroxide resistance protein, lowers intracellular iron",3.474091771,-6.834658734,-3.360566963,9.93937042,-7.263429958,2.675940463,0.645315318,-5.439844008,-4.79452869,-2.559060685,1.260882278,-1.298178408
b0007,yaaJ,putative transporter,-11.10841802,-13.23490866,-24.34332668,-19.85663281,-7.708293425,-27.56492623,6.097272763,-10.26113339,-4.163860628,-2.358770512,-4.355596415,-6.714366928
b0008,talB,transaldolase B,-2.007228428,2.66625898,0.659030553,4.944221523,2.506891687,7.45111321,-42.28220309,-4.202821405,-46.48502449,4.389295608,-17.97448674,-13.58519114
b0009,mog,molybdochelatase incorporating molybdenum into molybdopterin,-0.396633254,-4.730869645,-5.127502898,0.190022205,-3.876471677,-3.686449471,-51.73084044,-2.164174585,-53.89501502,-22.27490562,-7.610841122,-29.88574674
b0010,satP,succinate-acetate transporter,-52.09313855,-1.649515845,-53.74265439,8.78126133,-27.13361269,-18.35235136,-17.20612591,-15.83283483,-33.03896073,1.08428093,-9.709960445,-8.625679515
b0011,yaaW,UPF0174 family protein,-5.20995603,6.085440338,0.875484308,17.51351983,35.34682382,52.86034364,-5.492186296,6.243954281,0.751767985,-6.16286748,25.14071785,18.97785037
b0013,yaaI,UPF0412 family protein,-2.839663854,0.874575424,-1.96508843,-8.44110132,-4.750075178,-13.1911765,-6.813211458,3.15214216,-3.661069298,-2.79149936,-1.946838672,-4.738338032
b0014,dnaK,"chaperone Hsp70, with co-chaperone DnaJ",62.73853097,94.70708098,157.445612,123.569301,-54.87679926,68.69250177,5.199506548,20.78858484,25.98809139,-18.18755113,19.95328993,1.765738805
b0015,dnaJ,"chaperone Hsp40, DnaK co-chaperone",2.345153593,3.354746944,5.699900537,6.72641737,0.217903474,6.944320844,-3.992839346,2.241105307,-1.75173404,-2.51862385,6.717558043,4.198934193
b0016,insL1,IS186 transposase,-7.867458115,95.07789433,87.21043622,-8.23064219,30.64479367,22.41415148,-34.38165871,27.29314356,-7.08851515,8.32814868,-36.61621948,-28.2880708
b0018,mokC,"regulatory protein for HokC, overlaps CDS of hokC",10.27850652,21.94363896,32.22214548,3.163360719,13.22257769,16.38593841,-7.228178665,35.48955429,28.26137562,-16.97279524,75.37683095,58.40403571
b4412,hokC,"toxic membrane protein, small",8.891809426,19.47416275,28.36597218,3.944863064,9.821277629,13.76614069,-5.67233166,30.80253103,25.13019937,-14.68772072,67.66914202,52.9814213
b4413,sokC,-,1.588260593,8.724275103,10.3125357,-12.67332677,16.88455191,4.21122514,-7.638852584,1.411276269,-6.227576315,9.556113536,-2.572280513,6.983833024
b0019,nhaA,sodium-proton antiporter,1.866251387,3.296257742,5.162509128,-2.524896051,5.650338904,3.125442853,-15.02249162,-1.000456079,-16.0229477,-12.29044365,2.41146446,-9.878979188
b0020,nhaR,transcriptional activator of nhaA,10.54151045,-6.237985908,4.303524545,14.70809969,21.20135965,35.90945933,-18.16862077,-14.07393898,-32.24255975,12.73743174,-37.17627918,-24.43884744
b0021,insB1,IS1 transposase B,29.5004648,-9.0029349,20.4975299,-38.1498229,24.42623158,-13.72359133,18.71447553,-26.75341741,-8.03894188,-6.45994517,84.89662431,78.43667914
b0022,insA,IS1 repressor TnpA,7.486627977,14.17476266,21.66139063,-6.189630743,23.42613645,17.23650571,-3.699516648,-5.735256025,-9.434772673,-11.5374247,52.00041286,40.46298816
b0023,rpsT,30S ribosomal subunit protein S20,5.095998093,-2.191436564,2.904561529,-4.32799758,-5.130093154,-9.458090734,1.732478622,-0.65911696,1.073361662,-1.32162578,-1.093154485,-2.414780264
b0024,yaaY,uncharacterized protein,-8.56542661,4.664978905,-3.900447705,-29.6080309,-5.403751914,-35.01178281,-53.30632318,-2.220248516,-55.52657169,-11.41265172,-4.551736191,-15.96438791
b0025,ribF,bifunctional riboflavin kinase/FAD synthetase,1.288579819,-1.022593238,0.265986581,-3.22329876,-1.265710376,-4.489009136,0.723554181,-0.850436654,-0.126882473,2.55406543,-1.806463105,0.747602325
b0026,ileS,isoleucyl-tRNA synthetase,-5.347777009,7.407757431,2.059980423,-0.750772921,2.859827461,2.10905454,-0.119199375,-4.513067767,-4.632267142,3.557532634,0.84486541,4.402398044
b0027,lspA,prolipoprotein signal peptidase (signal peptidase II),-3.053918574,-0.615934853,-3.669853427,0.505505167,-1.324303491,-0.818798324,0.168248308,-0.121118142,0.047130165,0.358204366,-0.10515783,0.253046536
b0028,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),-1.146926685,0.511296608,-0.635630078,-1.911818949,0.307059507,-1.604759442,-0.088296093,0.010124037,-0.078172056,-0.014338761,0.049961213,0.035622452
b0029,ispH,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",0.209908845,0.856516936,1.066425781,0.230012837,-0.705212671,-0.475199834,0.902466429,-1.381976178,-0.479509749,-1.145576423,0.723979794,-0.421596629
b0030,rihC,ribonucleoside hydrolase 3,-4.571928383,2.951792145,-1.620136238,5.833908095,-6.090309462,-0.256401367,3.301120421,1.036885568,4.338005989,4.37316552,-1.809740354,2.563425166
b0031,dapB,dihydrodipicolinate reductase,1.277399199,-1.7436533,-0.466254101,0.540097713,0.055653605,0.595751318,-0.913667302,0.039152548,-0.874514754,-0.543050532,0.214199635,-0.328850897
b0032,carA,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",-2.655191414,-2.138979587,-4.794171002,-1.648440367,-1.103777145,-2.752217512,-1.444562699,-2.897727534,-4.342290232,-1.711316477,-0.27128859,-1.982605067
b0033,carB,carbamoyl-phosphate synthase large subunit,-6.966633865,7.02421132,0.057577455,-1.4646058,-10.14485208,-11.60945788,5.293910795,1.60728864,6.901199435,3.880140413,-2.472232218,1.407908195
b0034,caiF,cai operon transcriptional activator,-4.848712277,2.821436688,-2.027275589,2.249347838,0.746536192,2.995884029,-2.210714122,2.676469219,0.465755097,-4.086743225,-0.172509297,-4.259252521
