,X,Name,Product,ML115_Empty_6hr,ML115_Empty_12hr,ML115_Empty_24hr,ML115_TE_6hr,ML115_TE_12hr,ML115_TE_24hr,LAR1_Empty_6hr,LAR1_Empty_12hr,LAR1_Empty_24hr,LAR1_TE_6hr,LAR1_TE_12hr,LAR1_TE_24hr
1,b0001,thrL,thr operon leader peptide,0,0,0,2.60932274,0.584788546,0.084069073,-0.254164535,-0.375128786,-0.338988671,-0.071217502,-0.602727229,-0.819633978
2,b0002,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,0,0,0,-0.443021589,0.101948646,-0.254638729,0.833927783,0.260792549,0.128274497,0.588341572,-0.104859481,0.089205142
3,b0003,thrB,homoserine kinase,0,0,0,-0.446938405,-0.693680802,-0.244612457,0.024701038,-0.3511806,-0.31112474,-0.438394554,-0.423216425,-0.537699943
4,b0004,thrC,L-threonine synthase,0,0,0,-0.253065474,0.496918701,1.216938018,-0.157135614,-0.184454805,1.086000877,-0.122277567,0.123308593,0.784466806
5,b0005,yaaX,DUF2502 family putative periplasmic protein,0,0,0,0.389458307,2.168524914,-0.346693702,-0.042753983,0.19435917,0.272918969,-0.00977622,0.977041693,-0.12762905
6,b0006,yaaA,"peroxide resistance protein, lowers intracellular iron",0,0,0,0.801434329,1.089542075,2.270627336,0.375989927,0.052350069,0.347308407,1.0306785,0.278219803,1.960694704
7,b0007,yaaJ,putative transporter,0,0,0,-0.012858302,-0.200279422,-0.116197536,-0.327956895,-0.04206049,0.028606968,-0.299306233,-0.184952195,0.003081078
8,b0008,talB,transaldolase B,0,0,0,0.067596868,0.265536148,0.242990357,1.242541785,0.187344043,-0.004192943,0.283217547,0.477745923,-0.091894408
9,b0009,mog,molybdochelatase incorporating molybdenum into molybdopterin,0,0,0,0.110251096,0.189840012,0.73927719,6.982851068,0.851354006,2.918779076,3.688772324,1.111263329,1.856573498
10,b0010,satP,succinate-acetate transporter,0,0,0,-0.288982292,0.72065328,0.165122307,-0.107841438,0.537094788,0.233040847,-0.260432647,0.612373619,0.451162901
11,b0011,yaaW,UPF0174 family protein,0,0,0,-0.454068765,1.798112581,3.009324272,0.392717099,0.587847083,0.361804917,0.764032954,1.098983448,1.916690357
12,b0013,yaaI,UPF0412 family protein,0,0,0,0.541020785,0.161334381,-0.336524341,0.189847128,-0.130933609,0.075616621,-0.279782751,-0.349490222,-0.566719967
13,b0014,dnaK,"chaperone Hsp70, with co-chaperone DnaJ",0,0,0,0.900625433,0.946089054,-0.313583668,-0.579305498,-0.802000188,-0.791274399,0.62068936,-0.638793541,-0.713870461
14,b0015,dnaJ,"chaperone Hsp40, DnaK co-chaperone",0,0,0,0.867467004,1.441665767,0.370284272,3.638757702,0.000303831,-0.149475052,3.013787875,0.094603076,0.503824262
15,b0016,insL1,IS186 transposase,0,0,0,-0.022794056,-0.028195959,-0.344051023,0.21326764,-0.034031224,-0.364191795,-0.115006647,0.037246009,-0.65446571
16,b0018,mokC,"regulatory protein for HokC, overlaps CDS of hokC",0,0,0,1.752801638,-0.046187708,-0.260802573,4.865422342,0.03239126,0.38978314,9.811673975,0.641776203,1.737477564
17,b4412,hokC,"toxic membrane protein, small",0,0,0,1.54108046,0.058926269,-0.277985214,4.143483589,0.05803304,0.376159282,8.559596701,0.637013437,1.753446627
18,b4413,sokC,-,0,0,0,0.580804799,-0.226399164,0.141694583,0.044211381,-0.450046752,-0.57304194,-0.283421542,0.164090164,-0.298163091
19,b0019,nhaA,sodium-proton antiporter,0,0,0,0.591893158,-0.257239151,0.070550772,4.455980773,0.561685833,-0.06770361,4.304112598,0.875727869,0.489647339
20,b0020,nhaR,transcriptional activator of nhaA,0,0,0,-0.045531257,0.03956908,0.612035833,0.751864444,0.080888348,-0.070702358,0.817228823,0.699668462,0.150202908
21,b0021,insB1,IS1 transposase B,0,0,0,0.368371604,-0.094623926,0.108245127,-0.294519884,-0.306888355,-0.434631692,-0.281309681,-0.444422748,0.115403519
22,b0022,insA,IS1 repressor TnpA,0,0,0,0.167451336,-0.123450691,0.044513714,-0.088919596,-0.293905256,-0.534280354,-0.179822272,-0.524265532,0.166706658
23,b0023,rpsT,30S ribosomal subunit protein S20,0,0,0,0.950331542,-0.076192114,-0.341475791,-0.108200689,-0.310537585,-0.237776871,0.379023786,-0.22170852,-0.169395236
24,b0024,yaaY,uncharacterized protein,0,0,0,0.381189569,-0.542895472,-0.858175556,1.150137874,-0.663432415,-0.822003794,-0.320986121,-0.61190028,-0.878068433
25,b0025,ribF,bifunctional riboflavin kinase/FAD synthetase,0,0,0,1.103294172,-0.186921987,-0.308349939,-0.171293649,-0.246159574,-0.268407323,-0.411172481,-0.020792525,-0.245922706
26,b0026,ileS,isoleucyl-tRNA synthetase,0,0,0,-0.185268681,0.071662278,-0.165182265,-0.239058074,0.042375954,-0.528179694,-0.467803783,-0.011570097,-0.313627588
27,b0027,lspA,prolipoprotein signal peptidase (signal peptidase II),0,0,0,0.018366405,0.568926534,0.508777872,-0.473805398,-0.203482388,-0.141394927,-0.503608374,-0.218219031,-0.154974881
28,b0028,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),0,0,0,0.666905979,0,-0.399449356,-0.763219199,18326.4126,-0.621749568,-0.850241887,15741.2815,-0.594395846
29,b0029,ispH,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",0,0,0,2.734851287,1.996641223,-0.039463857,1.990757822,2.356794117,-0.292429184,3.305926156,0.574873908,0.185980306
30,b0030,rihC,ribonucleoside hydrolase 3,0,0,0,-0.500585953,-0.130893879,-0.478395975,-0.688929197,-0.473809066,-0.494537823,-0.751483541,-0.500563244,-0.632405132
31,b0031,dapB,dihydrodipicolinate reductase,0,0,0,-0.280880457,-0.497956303,93103.3754,2.520906749,-0.582503065,76711.2457,0.518736282,-0.905332965,37925.6124
32,b0032,carA,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",0,0,0,-0.31710064,-0.280951821,-0.10148089,-0.072759619,0.15043108,-0.030166763,-0.366472091,-0.372872869,0.069395595
33,b0033,carB,carbamoyl-phosphate synthase large subunit,0,0,0,-0.030100412,0.249216263,-0.479256008,-0.511171004,-0.052037002,-0.246534001,-0.422342469,-0.005163235,-0.369413629
34,b0034,caiF,cai operon transcriptional activator,0,0,0,-0.657932011,0.827759818,0.018787135,-0.246799706,0.301157729,0.118711285,-0.098405213,0.009879623,-0.544397925
35,b0035,caiE,stimulator of CaiD and CaiB enzyme activities,0,0,0,-0.421653141,0.781126287,-0.581662773,-0.5865241,0.972923635,-0.410484325,-0.498919804,2.362149579,-0.515719123
36,b0036,caiD,carnitinyl-CoA dehydratase,0,0,0,-0.183968581,2.805710293,4.352000882,0.653244728,1.512401119,3.92414464,1.103950629,2.667960909,17.2175182
