"","X","Name","Product","ML115_Empty_6hr","ML115_Empty_12hr","ML115_Empty_24hr","ML115_TE_6hr","ML115_TE_12hr","ML115_TE_24hr","LAR1_Empty_6hr","LAR1_Empty_12hr","LAR1_Empty_24hr","LAR1_TE_6hr","LAR1_TE_12hr","LAR1_TE_24hr"
"1","b0001","thrL","thr operon leader peptide",5.427161421,9.757204576,9.6765596,19.58837713,15.46310605,10.490059,4.04776946,6.096996271,6.396315523,5.040652544,3.876271698,1.745322564
"2","b0002","thrA","Bifunctional aspartokinase/homoserine dehydrogenase 1",15.37535479,10.76741289,13.21069265,8.563740681,11.86513605,9.846738661,28.19729032,13.57547394,14.9052876,24.4213152,9.638347558,14.38915437
"3","b0003","thrB","homoserine kinase",7.306689567,8.608124237,9.798634995,4.041049388,2.636833712,7.401766818,7.487172387,5.585117999,6.750037234,4.103476655,4.965024672,4.529909521
"4","b0004","thrC","L-threonine synthase",10.80735392,8.201476545,4.730470846,8.072385773,12.27694362,10.48716066,9.109133726,6.688674786,9.867766334,9.485856976,9.212789079,8.4413682
"5","b0005","yaaX","DUF2502 family putative periplasmic protein",27.13545331,6.634483931,6.578330461,37.70358101,21.02152763,4.29766472,25.97530459,7.923956722,8.373681629,26.87017116,13.11665134,5.738744396
"6","b0006","yaaA","peroxide resistance protein, lowers intracellular iron",9.302455553,12.77654732,5.94188859,16.75776278,26.6971332,19.43370325,12.80008514,13.44540046,8.005556451,18.89029649,16.3312358,17.59211808
"7","b0007","yaaJ","putative transporter",58.54730943,47.43889141,34.20398275,57.79449047,37.93785766,30.22956424,39.3463156,45.44358837,35.18245498,41.02373482,38.6649643,34.30936789
"8","b0008","talB","transaldolase B",37.81180606,35.80457763,38.47083661,40.36776572,45.31198724,47.81887893,84.79455506,42.51235197,38.30953057,48.52077301,52.91006862,34.93558187
"9","b0009","mog","molybdochelatase incorporating molybdenum into molybdopterin",8.317142023,7.920508769,3.189639124,9.234116044,9.424138249,5.547666572,66.39450608,14.66366564,12.49949106,38.99718533,16.72227971,9.111438591
"10","b0010","satP","succinate-acetate transporter",97.47625164,45.38311309,43.73359725,69.30734107,78.0886024,50.95498971,86.96427252,69.75814661,53.92531178,72.09025338,73.17453431,63.46457387
"11","b0011","yaaW","UPF0174 family protein",14.24910272,9.039146693,15.12458703,7.779030248,25.29255008,60.63937389,19.84496901,14.35278271,20.59673699,25.13588677,18.97301929,44.11373714
"12","b0013","yaaI","UPF0412 family protein",13.54618447,10.70652062,11.58109604,20.87495182,12.4338505,7.683775322,16.11788869,9.304677232,12.45681939,9.756195708,6.964696348,5.017857676
"13","b0014","dnaK","chaperone Hsp70, with co-chaperone DnaJ",32.43324202,95.17177299,189.878854,61.64344465,185.2127457,130.3359464,13.6444866,18.84399315,39.63257799,52.56421024,34.37665911,54.32994904
"14","b0015","dnaJ","chaperone Hsp40, DnaK co-chaperone",1.742142596,4.087296189,7.442043133,3.253393814,9.979811185,10.19771466,8.081377385,4.088538038,6.329643345,6.992590829,4.473966979,11.19152502
"15","b0016","insL1","IS186 transposase",108.2978688,100.4304107,195.508305,105.8293211,97.59867896,128.2434726,131.3942997,97.01264094,124.3057845,95.84289406,104.1710427,67.55482326
"16","b0018","mokC","regulatory protein for HokC, overlaps CDS of hokC",3.691186477,13.969693,35.91333196,10.16110418,13.3244649,26.54704259,21.65036763,14.42218896,49.91174325,39.90790477,22.93510953,98.31194048
"17","b4412","hokC","toxic membrane protein, small",3.691186477,12.5829959,32.05715865,9.379601832,13.3244649,23.14574253,18.98555707,13.31322541,44.11575644,35.28625407,20.59853336,88.26767537
"18","b4413","sokC","-",17.22242099,18.81068158,27.53495668,27.22528575,14.55195899,31.43651089,17.98384801,10.34499543,11.7562717,12.34121587,21.8973294,19.32504889
"19","b0019","nhaA","sodium-proton antiporter",4.605965969,6.472217355,9.768475097,7.332205711,4.80730966,10.45764856,25.13006177,10.10757015,9.107114071,24.43056212,12.14011847,14.55158293
"20","b0020","nhaR","transcriptional activator of nhaA",44.05941844,54.6009289,48.36294299,42.05333775,56.76143743,77.96279708,77.18612861,59.01750784,44.94356886,80.06604512,92.80347686,55.62719768
"21","b0021","insB1","IS1 transposase B",140.0852356,169.5857004,160.5827655,191.6886586,153.5388357,177.9650673,98.8273483,117.5418238,90.78840642,100.6779026,94.21795739,179.1145817
"22","b0022","insA","IS1 repressor TnpA",43.83616533,51.32279331,65.49755596,51.17658976,44.98695902,68.41309546,39.93827124,36.23875459,30.50349857,35.95344647,24.41602177,76.41643463
"23","b0023","rpsT","30S ribosomal subunit protein S20",8.802252878,13.89825097,11.70681441,17.16731143,12.83931385,7.709220701,7.849843051,9.582321672,8.923204713,12.13851609,10.81689031,9.723735824
"24","b0024","yaaY","uncharacterized protein",27.80343201,19.2380054,23.90298431,38.40181027,8.793779373,3.390027459,59.7812122,6.474889024,4.254640509,18.87891623,7.466264512,2.914528321
"25","b0025","ribF","bifunctional riboflavin kinase/FAD synthetase",3.310309399,4.598889218,3.57629598,6.962554467,3.739255707,2.473545331,2.743274424,3.466828605,2.616391951,1.949201269,4.503266699,2.696803594
"26","b0026","ileS","isoleucyl-tRNA synthetase",19.38356506,14.03578805,21.44354548,15.79239752,15.04162459,17.90145206,14.74976733,14.63056796,10.11750019,10.31585999,13.87339262,14.71825803
"27","b0027","lspA","prolipoprotein signal peptidase (signal peptidase II)",9.620891089,6.566972515,5.951037662,9.797592267,10.30309743,8.978793942,5.062460959,5.230709267,5.109591125,4.775729773,5.133934139,5.028776309
"28","b0028","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)",1.146926685,1e-05,0.511296608,1.911818949,1e-05,0.307059507,0.271570219,0.183274126,0.193398163,0.171761576,0.157422815,0.207384028
"29","b0029","ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",0.540508292,0.750417137,1.606934073,2.01871809,2.248730927,1.543518256,1.616529402,2.518995831,1.137019653,2.327388792,1.181812369,1.905792163
"30","b0030","rihC","ribonucleoside hydrolase 3",26.52856182,21.95663343,24.90842558,13.24873641,19.08264451,12.99233505,8.252261038,11.55338146,12.59026703,6.592784258,10.96594978,9.156209424
"31","b0031","dapB","dihydrodipicolinate reductase",0.466254101,1.7436533,1e-05,0.335292436,0.875390149,0.931043754,1.641637211,0.727969909,0.767122457,0.70811702,0.165066488,0.379266124
"32","b0032","carA","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",7.213795344,4.55860393,2.419624343,4.926296222,3.277855855,2.17407871,6.688922342,5.244359644,2.34663211,4.57014068,2.858824203,2.587535613
"33","b0033","carB","carbamoyl-phosphate synthase large subunit",25.91405093,18.94741706,25.97162838,25.13402733,23.66942153,13.52456945,12.66753949,17.96145028,19.56873892,14.96944668,18.8495871,16.37735488
"34","b0034","caiF","cai operon transcriptional activator",7.479094311,2.630382034,5.451818723,2.55835875,4.807706588,5.554242779,5.633256034,3.422541913,6.099011131,6.743112442,2.656369217,2.48385992
"35","b0035","caiE","stimulator of CaiD and CaiB enzyme activities",16.82177583,2.201559921,4.44087135,9.728821214,3.921256247,1.857781804,6.955398906,4.343509601,2.617963273,8.42905873,7.401973761,2.150629073
"36","b0036","caiD","carnitinyl-CoA dehydratase",1.787983471,1.010632202,0.575191786,1.459050689,3.846173374,3.078426946,2.955974247,2.539113475,2.83232755,3.761828949,3.70695941,10.47856683
"37","b0037","caiC","putative crotonobetaine/carnitine-CoA ligase",13.85230693,14.52575763,16.27190073,13.52755036,7.985980937,7.993733164,14.70565967,8.080895293,8.151384079,12.00076769,8.42763829,9.444677453
"38","b0038","caiB","crotonobetainyl CoA:carnitine CoA transferase",1.198935212,2.214961041,2.919416383,1.068299517,1.234830246,3.091577517,4.8098906,3.272880315,3.195754552,7.610098014,1.689474667,3.272727757
