"","Name","Product"
"b0001","thrL","thr operon leader peptide"
"b0002","thrA","Bifunctional aspartokinase/homoserine dehydrogenase 1"
"b0003","thrB","homoserine kinase"
"b0004","thrC","L-threonine synthase"
"b0005","yaaX","DUF2502 family putative periplasmic protein"
"b0006","yaaA","peroxide resistance protein, lowers intracellular iron"
"b0007","yaaJ","putative transporter"
"b0008","talB","transaldolase B"
"b0009","mog","molybdochelatase incorporating molybdenum into molybdopterin"
"b0010","satP","succinate-acetate transporter"
"b0011","yaaW","UPF0174 family protein"
"b0013","yaaI","UPF0412 family protein"
"b0014","dnaK","chaperone Hsp70, with co-chaperone DnaJ"
"b0015","dnaJ","chaperone Hsp40, DnaK co-chaperone"
"b0016","insL1","IS186 transposase"
"b0018","mokC","regulatory protein for HokC, overlaps CDS of hokC"
"b4412","hokC","toxic membrane protein, small"
"b4413","sokC","-"
"b0019","nhaA","sodium-proton antiporter"
"b0020","nhaR","transcriptional activator of nhaA"
"b0021","insB1","IS1 transposase B"
"b0022","insA","IS1 repressor TnpA"
"b0023","rpsT","30S ribosomal subunit protein S20"
"b0024","yaaY","uncharacterized protein"
"b0025","ribF","bifunctional riboflavin kinase/FAD synthetase"
"b0026","ileS","isoleucyl-tRNA synthetase"
"b0027","lspA","prolipoprotein signal peptidase (signal peptidase II)"
"b0028","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
"b0029","ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"
"b0030","rihC","ribonucleoside hydrolase 3"
"b0031","dapB","dihydrodipicolinate reductase"
"b0032","carA","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"
"b0033","carB","carbamoyl-phosphate synthase large subunit"
"b0034","caiF","cai operon transcriptional activator"
"b0035","caiE","stimulator of CaiD and CaiB enzyme activities"
"b0036","caiD","carnitinyl-CoA dehydratase"
"b0037","caiC","putative crotonobetaine/carnitine-CoA ligase"
"b0038","caiB","crotonobetainyl CoA:carnitine CoA transferase"
"b0039","caiA","crotonobetaine reductase subunit II, FAD-binding"
"b0040","caiT","putative transporter"
"b0041","fixA","anaerobic carnitine reduction putative electron transfer flavoprotein subunit"
"b0042","fixB","putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"
"b0043","fixC","putative oxidoreductase"
"b0044","fixX","putative 4Fe-4S ferredoxin-type protein"
"b0045","yaaU","putative transporter"
"b0046","kefF","potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent"
"b0047","kefC","potassium:proton antiporter"
"b0048","folA","dihydrofolate reductase"
"b0049","apaH","diadenosine tetraphosphatase"
"b0050","apaG","protein associated with Co2+ and Mg2+ efflux"
"b0051","rsmA","16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent"
"b0052","pdxA","4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"
"b0053","surA","peptidyl-prolyl cis-trans isomerase (PPIase)"
"b0054","lptD","LPS assembly OM complex LptDE, beta-barrel component"
"b0055","djlA","membrane-anchored DnaK co-chaperone, DNA-binding protein"
"b0058","rluA","dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent"
"b0059","rapA","RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase"
"b0060","polB","DNA polymerase II"
"b0061","araD","L-ribulose-5-phosphate 4-epimerase"
"b0062","araA","L-arabinose isomerase"
"b0063","araB","L-ribulokinase"
"b0064","araC","ara regulon transcriptional activator; autorepressor"
"b0065","yabI","DedA family inner membrane protein"
"b0066","thiQ","thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer"
"b0067","thiP","thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer"
"b0068","thiB","thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer"
"b0069","sgrR","transcriptional DNA-binding transcriptional activator of sgrS sRNA"
"b4577","sgrS","-"
"b4662","sgrT","inhibitor of glucose uptake"
"b0070","setA","broad specificity sugar efflux system"
"b0071","leuD","3-isopropylmalate dehydratase small subunit"
"b0072","leuC","3-isopropylmalate dehydratase large subunit"
"b0073","leuB","3-isopropylmalate dehydrogenase, NAD(+)-dependent"
"b0074","leuA","2-isopropylmalate synthase"
"b0075","leuL","leu operon leader peptide"
"b0076","leuO","global transcription factor"
"b0077","ilvI","acetolactate synthase 3 large subunit"
"b0078","ilvH","acetolactate synthase 3, small subunit, valine-sensitive"
"b0080","cra","transcriptional repressor-activator for carbon metabolism"
"b0081","mraZ","RsmH methytransferase inhibitor"
"b0082","rsmH","16S rRNA m(4)C1402 methyltransferase, SAM-dependent"
"b0083","ftsL","membrane bound cell division protein at septum containing leucine zipper motif"
"b0084","ftsI","transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)"
"b0085","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase"
"b0086","murF","UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase"
"b0087","mraY","phospho-N-acetylmuramoyl-pentapeptide transferase"
"b0088","murD","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase"
"b0089","ftsW","lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division"
"b0090","murG","N-acetylglucosaminyl transferase"
"b0091","murC","UDP-N-acetylmuramate:L-alanine ligase"
"b0092","ddlB","D-alanine:D-alanine ligase"
"b0093","ftsQ","divisome assembly protein, membrane anchored protein involved in growth of wall at septum"
"b0094","ftsA","ATP-binding cell division protein involved in recruitment of FtsK to Z ring"
"b0095","ftsZ","GTP-binding tubulin-like cell division protein"
"b0096","lpxC","UDP-3-O-acyl N-acetylglucosamine deacetylase"
"b0097","secM","regulator of secA translation"
"b0098","secA","preprotein translocase subunit, ATPase"
"b0099","mutT","nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"
"b0101","yacG","DNA gyrase inhibitor"
"b0102","zapD","FtsZ stabilizer"
"b0103","coaE","dephospho-CoA kinase"
"b0104","guaC","GMP reductase"
"b0106","hofC","assembly protein in type IV pilin biogenesis, transmembrane protein"
"b0107","hofB","T2SE secretion family protein; P-loop ATPase superfamily protein"
"b0108","ppdD","putative prepilin peptidase-dependent pilin"
"b0109","nadC","quinolinate phosphoribosyltransferase"
"b0110","ampD","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"
"b0111","ampE","ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation"
"b0112","aroP","aromatic amino acid transporter"
"b0113","pdhR","pyruvate dehydrogenase complex repressor; autorepressor"
"b0114","aceE","pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding"
"b0115","aceF","pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"
"b0116","lpd","lipoamide dehydrogenase, E3 component is part of three enzyme complexes"
"b0117","yacH","uncharacterized protein"
"b0118","acnB","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase"
"b0119","yacL","UPF0231 family protein"
"b0120","speD","S-adenosylmethionine decarboxylase"
"b0121","speE","spermidine synthase (putrescine aminopropyltransferase)"
"b0122","yacC","PulS_OutS family protein"
"b0123","cueO","multicopper oxidase (laccase)"
"b0124","gcd","glucose dehydrogenase"
"b0125","hpt","hypoxanthine phosphoribosyltransferase"
"b0126","can","carbonic anhydrase"
"b0127","yadG","putative ABC superfamily transporter ATP-binding subunit"
"b0128","yadH","inner membrane putative ABC superfamily transporter permease"
"b0129","yadI","putative PTS Enzyme IIA"
"b0130","yadE","putative polysaccharide deacetylase lipoprotein"
"b0131","panD","aspartate 1-decarboxylase"
"b0132","yadD","transposase_31 family protein"
"b0133","panC","pantothenate synthetase"
